"Manage Blocks","Manage Blocks"
"Add New Element Profile","Add New Element Profile"
"Save Profile","Save Profile"
"Save and Continue Edit","Save and Continue Edit"
Duplicate,Duplicate
"Delete Profile","Delete Profile"
"Edit Profile '%1'","Edit Profile '%1'"
"New Profile","New Profile"
"Design Elemment","Design Elemment"
"Prefix Class","Prefix Class"
"Enable Container","Enable Container"
"-- Load A Layout --","-- Load A Layout --"
"Current Layout Profile","Current Layout Profile"
"Use Backup Layout","Use Backup Layout"
"Element Editor","Element Editor"
Design,Design
"Element Information","Element Information"
"Element Title","Element Title"
"URL Key","URL Key"
"Empty to auto create url key","Empty to auto create url key"
Status,Status
Shortcode,Shortcode
"Display Element From Date","Display Element From Date"
"Display Element To Date","Display Element To Date"
"Enable Element for certain customer groups","Enable Element for certain customer groups"
Position,Position
"Image URL","Image URL"
"Input Image URL to preview the element profile. <br/><strong>For example:</strong> http://domain.com/images/element_profile1.jpg","Input Image URL to preview the element profile. <br/><strong>For example:</strong> http://domain.com/images/element_profile1.jpg"
Description,Description
Preview,Preview
"Manage Pages","Manage Pages"
"New Page","New Page"
"Manage Elements","Manage Elements"
"New Element Profile","New Element Profile"
"Manage Images","Manage Images"
"Base Settings","Base Settings"
"Page Settings","Page Settings"
"Live Css Settings","Live Css Settings"
Guide,Guide
"Get Support","Get Support"
"Page Layout","Page Layout"
Layout,Layout
"Layout Update XML","Layout Update XML"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"-- Please Select --","-- Please Select --"
"Custom Theme","Custom Theme"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Meta Data","Meta Data"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"CMS Page Information","CMS Page Information"
"Desgin Block","Desgin Block"
"Block Editor","Block Editor"
"Page View Optimization","Page View Optimization"
"Google Analytics Content Experiments Code","Google Analytics Content Experiments Code"
"Experiment Code","Experiment Code"
"Experiment code should be added to the original page only.","Experiment code should be added to the original page only."
"Block Information","Block Information"
"Page Title","Page Title"
"Store View","Store View"
"Display Block From Date","Display Block From Date"
"Display Block To Date","Display Block To Date"
"Enable Block for certain customer groups","Enable Block for certain customer groups"
"Page Information","Page Information"
"Wrapper For Page Builder","Wrapper For Page Builder"
"Enable Wrapper Block","Enable Wrapper Block"
Disabled,Disabled
Enabled,Enabled
"Select Wrapper Class","Select Wrapper Class"
"Choose a container size","Choose a container size"
"-- Select A Class --","-- Select A Class --"
container,container
container-small,container-small
container-large,container-large
container-fluid,container-fluid
main-container,main-container
"Custom Wrapper Class","Custom Wrapper Class"
"For example: <strong>container</strong>","For example: <strong>container</strong>"
"Page Builder Widget Settings","Page Builder Widget Settings"
"Custom Template","Custom Template"
