Save Menu,Save Menu
Save and Duplicate, Save and Duplicate
Save and Continue Edit, Save and Continue Edit
Delete Menu, Delete Menu
New Menu, New Menu
The menu has been deleted., The menu has been deleted.
We can\'t find a menu to delete., We can\'t find a menu to delete.
Manage Menus, Manage Menus
This menu no longer exists., This menu no longer exists.
New Menu, New Menu
A total of %1 record(s) have been deleted., A total of %1 record(s) have been deleted.
A total of %1 record(s) have been disabled., A total of %1 record(s) have been disabled.
A total of %1 record(s) have been enabled., A total of %1 record(s) have been enabled.
You saved this menu., You saved this menu.
Something went wrong while saving the menu., Something went wrong while saving the menu.
You duplicated this menu., You duplicated this menu.
WYSIWYG Editor, WYSIWYG Editor
